COD_TERM,DESCRICAO TERM,DATA LEITURA,TEMP MÍN,TEMP MÁX,TEMP MÉDIA,DELTA,ERRO MÍN.,ERRO MÁX ,ERRO DELTA,VERIFIC.,ANO
ZAR,ARARAQUARA,2007-01-24,21.0,22.0,21.5,1.0,,,erro,ERRO,2007
ZAR,ARARAQUARA,2007-01-25,20.0,38.0,29.0,18.0,,,,OK,2007
ZBU,BAURU,2007-01-25,26.0,53.0,39.5,27.0,,,,OK,2007
ZAR,ARARAQUARA,2007-01-26,24.0,45.0,34.5,21.0,,,,OK,2007
ZBU,BAURU,2007-01-26,23.0,49.0,36.0,26.0,,,,OK,2007
ZAR,ARARAQUARA,2007-01-27,21.0,30.0,25.5,9.0,,,,OK,2007
ZBU,BAURU,2007-01-27,23.0,26.0,24.5,3.0,,,erro,ERRO,2007
ZAR,ARARAQUARA,2007-01-28,20.0,36.0,28.0,16.0,,,,OK,2007
ZAR,ARARAQUARA,2007-01-29,20.0,45.0,32.5,25.0,,,,OK,2007
ZBU,BAURU,2007-01-29,25.0,48.0,36.5,23.0,,,,OK,2007
ZAR,ARARAQUARA,2007-01-30,21.0,54.0,37.5,33.0,,,,OK,2007
ZAR,ARARAQUARA,2007-01-31,21.0,50.0,35.5,29.0,,,,OK,2007
ZBU,BAURU,2007-01-31,23.0,52.0,37.5,29.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-01,20.0,54.0,37.0,34.0,,,,OK,2007
ZBU,BAURU,2007-02-01,21.0,57.0,39.0,36.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-02,22.0,44.0,33.0,22.0,,,,OK,2007
ZBU,BAURU,2007-02-02,23.0,56.0,39.5,33.0,,,,OK,2007
ZBU,BAURU,2007-02-03,21.0,52.0,36.5,31.0,,,,OK,2007
ZBU,BAURU,2007-02-04,19.0,56.0,37.5,37.0,,,,OK,2007
ZBU,BAURU,2007-02-05,21.0,53.0,37.0,32.0,,,,OK,2007
ZBU,BAURU,2007-02-06,21.0,55.0,38.0,34.0,,,,OK,2007
ZBU,BAURU,2007-02-07,22.0,55.0,38.5,33.0,,,,OK,2007
ZBU,BAURU,2007-02-08,22.0,57.0,39.5,35.0,,,,OK,2007
ZBU,BAURU,2007-02-09,22.0,47.0,34.5,25.0,,,,OK,2007
ZBU,BAURU,2007-02-10,23.0,54.0,38.5,31.0,,,,OK,2007
ZBU,BAURU,2007-02-11,19.0,48.0,33.5,29.0,,,,OK,2007
ZBU,BAURU,2007-02-12,18.0,46.0,32.0,28.0,,,,OK,2007
ZBU,BAURU,2007-02-13,15.0,50.0,32.5,35.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-14,22.0,51.0,36.5,29.0,,,,OK,2007
ZBU,BAURU,2007-02-14,18.0,50.0,34.0,32.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-15,18.0,52.0,35.0,34.0,,,,OK,2007
ZBU,BAURU,2007-02-15,19.0,52.0,35.5,33.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-16,19.0,58.0,38.5,39.0,,,,OK,2007
ZBU,BAURU,2007-02-16,20.0,56.0,38.0,36.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-17,22.0,56.0,39.0,34.0,,,,OK,2007
ZBU,BAURU,2007-02-17,22.0,54.0,38.0,32.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-18,22.0,54.0,38.0,32.0,,,,OK,2007
ZBU,BAURU,2007-02-18,22.0,56.0,39.0,34.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-19,20.0,49.0,34.5,29.0,,,,OK,2007
ZBU,BAURU,2007-02-19,20.0,51.0,35.5,31.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-20,20.0,46.0,33.0,26.0,,,,OK,2007
ZBU,BAURU,2007-02-20,22.0,50.0,36.0,28.0,,,,OK,2007
ZAR,ARARAQUARA,2007-02-21,20.0,44.0,32.0,24.0,,,,OK,2007
ZBU,BAURU,2007-02-21,21.0,50.0,35.5,29.0,,,,OK,2007
ZBU,BAURU,2007-02-22,21.0,52.0,36.5,31.0,,,,OK,2007
ZBU,BAURU,2007-02-23,21.0,51.0,36.0,30.0,,,,OK,2007
ZBU,BAURU,2007-02-24,19.0,54.0,36.5,35.0,,,,OK,2007
ZBU,BAURU,2007-02-25,21.0,50.0,35.5,29.0,,,,OK,2007
ZBU,BAURU,2007-02-26,21.0,52.0,36.5,31.0,,,,OK,2007
ZBU,BAURU,2007-02-27,20.0,45.0,32.5,25.0,,,,OK,2007
ZBU,BAURU,2007-02-28,20.0,45.0,32.5,25.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-01,22.0,51.0,36.5,29.0,,,,OK,2007
ZBU,BAURU,2007-03-01,20.0,45.0,32.5,25.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-02,19.0,52.0,35.5,33.0,,,,OK,2007
ZBU,BAURU,2007-03-02,21.0,53.0,37.0,32.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-03,19.0,53.0,36.0,34.0,,,,OK,2007
ZBU,BAURU,2007-03-03,20.0,54.0,37.0,34.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-04,21.0,56.0,38.5,35.0,,,,OK,2007
ZBU,BAURU,2007-03-04,21.0,52.0,36.5,31.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-05,20.0,53.0,36.5,33.0,,,,OK,2007
ZBU,BAURU,2007-03-05,21.0,54.0,37.5,33.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-05,24.0,25.0,24.5,1.0,,,erro,ERRO,2007
ZBU,BAURU,2007-03-06,17.0,59.0,38.0,42.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-06,22.0,55.0,38.5,33.0,,,,OK,2007
ZBU,BAURU,2007-03-07,22.0,53.0,37.5,31.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-07,23.0,57.0,40.0,34.0,,,,OK,2007
ZBU,BAURU,2007-03-08,21.0,53.0,37.0,32.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-08,22.0,51.0,36.5,29.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-09,23.0,54.0,38.5,31.0,,,,OK,2007
ZBU,BAURU,2007-03-09,20.0,53.0,36.5,33.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-09,20.0,52.0,36.0,32.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-10,20.0,55.0,37.5,35.0,,,,OK,2007
ZBU,BAURU,2007-03-10,21.0,51.0,36.0,30.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-10,22.0,51.0,36.5,29.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-11,21.0,53.0,37.0,32.0,,,,OK,2007
ZBU,BAURU,2007-03-11,21.0,55.0,38.0,34.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-11,22.0,51.0,36.5,29.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-12,10.0,53.0,31.5,43.0,,,,OK,2007
ZBU,BAURU,2007-03-12,21.0,51.0,36.0,30.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-12,21.0,56.0,38.5,35.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-13,21.0,54.0,37.5,33.0,,,,OK,2007
ZBU,BAURU,2007-03-13,22.0,51.0,36.5,29.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-13,24.0,50.0,37.0,26.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-14,21.0,46.0,33.5,25.0,,,,OK,2007
ZBU,BAURU,2007-03-14,21.0,51.0,36.0,30.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-14,23.0,56.0,39.5,33.0,,,,OK,2007
ZBU,BAURU,2007-03-15,22.0,48.0,35.0,26.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-15,24.0,49.0,36.5,25.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-16,22.0,47.0,34.5,25.0,,,,OK,2007
ZBU,BAURU,2007-03-16,21.0,52.0,36.5,31.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-16,23.0,55.0,39.0,32.0,,,,OK,2007
ZAR,ARARAQUARA,2007-03-17,21.0,37.0,29.0,16.0,,,,OK,2007
ZBU,BAURU,2007-03-17,21.0,41.0,31.0,20.0,,,,OK,2007
ZRU,SJ_RIO_PRETO,2007-03-17,23.0,48.0,35.5,25.0,,,,OK,2007
