regiao,operacao,original,temperatura,temperaturatermometro,amplitude,status,dataref,year,month,day
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,22.4,22.4,3.9,ErroTOCF,2024-03-06,2024,3,6
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.7,22.4,8.2,ErroTOCF,2024-03-06,2024,3,6
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.5,22.4,8.0,ErroTOCF,2024-03-06,2024,3,6
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.5,22.4,8.0,ErroTOCF,2024-03-06,2024,3,6
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.4,22.4,7.9,ErroTOCF,2024-03-06,2024,3,6
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.4,22.4,7.9,ErroTOCF,2024-03-06,2024,3,6
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,25.9,22.4,0.0,ErroTOCF,2024-03-07,2024,3,7
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.8,21.8,0.0,ErroTOCF,2024-03-11,2024,3,11
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.9,26.9,8.6,ErroTOCF,2024-04-27,2024,4,27
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,24.4,26.9,6.1,ErroTOCF,2024-04-27,2024,4,27
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,24.4,26.9,6.1,ErroTOCF,2024-04-27,2024,4,27
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,24.2,26.9,5.9,ErroTOCF,2024-04-27,2024,4,27
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,24.2,26.9,5.9,ErroTOCF,2024-04-27,2024,4,27
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,23.6,26.9,5.3,ErroTOCF,2024-04-27,2024,4,27
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,23.6,26.9,5.3,ErroTOCF,2024-04-27,2024,4,27
NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,23.5,26.9,5.2,ErroTOCF,2024-04-27,2024,4,27
