data,regiao,operacao,original,temperatura_maxima,temperatura_minima,status
2023-11-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.2,24.7,Normal
2023-11-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.1,19.1,Normal
2023-11-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,56.1,19.6,Normal
2023-11-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,56.4,18.8,Normal
2023-11-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,57.6,20.6,Normal
2023-11-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,55.9,20.2,Normal
2023-11-14,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.8,21.0,Normal
2023-11-15,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,57.3,18.8,Normal
2023-11-16,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,52.1,18.8,Normal
2023-11-17,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.7,21.8,Normal
2023-11-18,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.6,23.2,Normal
2023-11-19,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,52.7,19.7,Normal
2023-11-20,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.4,18.5,Normal
2023-11-21,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,52.9,20.2,Normal
2023-11-22,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.0,21.0,Normal
2023-11-23,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.2,21.0,Normal
2023-11-24,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.4,17.5,Normal
2023-11-25,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.4,15.5,Normal
2023-11-26,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.1,16.3,Normal
2023-11-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.7,18.7,Normal
2023-11-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.9,18.4,Normal
2023-11-29,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.8,19.6,Normal
2023-11-30,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,50.5,19.1,Normal
2023-12-01,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,56.3,20.1,Normal
2023-12-02,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,57.1,19.6,Normal
2023-12-03,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,58.8,22.0,Normal
2023-12-04,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.8,20.0,Normal
2023-12-05,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.7,19.8,Normal
2023-12-06,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.5,19.2,Normal
2023-12-07,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,50.7,20.1,Normal
2023-12-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.4,19.3,Normal
2023-12-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.9,18.6,Normal
2023-12-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.5,17.3,Normal
2023-12-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.9,18.6,Normal
2023-12-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,50.4,17.3,Normal
2023-12-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,56.7,13.8,Normal
2023-12-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,55.8,20.1,Normal
2023-12-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,56.8,16.1,Normal
2023-12-29,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.2,16.8,Normal
2023-12-30,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.1,20.0,Normal
2023-12-31,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.6,16.3,Normal
2024-01-01,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,50.1,20.0,Normal
2024-01-02,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.9,17.5,Normal
2024-01-03,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.5,18.3,Normal
2024-01-04,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.1,18.4,Normal
2024-01-05,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.9,16.0,Normal
2024-01-06,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.2,17.9,Normal
2024-01-07,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.8,19.1,Normal
2024-01-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.2,21.0,Normal
2024-01-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,57.6,19.6,Normal
2024-01-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.4,20.5,Normal
2024-01-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.4,20.9,Normal
2024-01-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.6,19.6,Normal
2024-01-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.5,20.3,Normal
2024-01-14,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.4,17.8,Normal
2024-01-15,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.5,18.7,Normal
2024-01-16,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.6,19.8,Normal
2024-01-17,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.0,20.9,Normal
2024-01-18,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,55.1,19.3,Normal
2024-01-19,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,55.6,20.4,Normal
2024-01-20,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.2,20.2,Normal
2024-01-21,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.0,20.7,Normal
2024-01-22,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,52.9,18.5,Normal
2024-01-23,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.5,17.8,Normal
2024-01-24,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.2,15.4,Normal
2024-01-25,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.9,14.8,Normal
2024-01-26,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,52.6,13.9,Normal
2024-01-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,52.2,14.2,Normal
2024-01-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,36.1,18.8,Normal
2024-01-29,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.2,16.3,Normal
2024-01-30,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.7,17.1,Normal
2024-01-31,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.4,17.6,Normal
2024-02-01,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,52.4,16.0,Normal
2024-02-02,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.3,17.2,Normal
2024-02-03,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.2,19.6,Normal
2024-02-04,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,37.1,18.6,Normal
2024-02-05,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,57.7,19.5,Normal
2024-02-06,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,55.2,19.8,Normal
2024-02-07,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.9,19.9,Normal
2024-02-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,55.5,18.9,Normal
2024-02-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.2,19.5,Normal
2024-02-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.5,19.1,Normal
2024-02-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,56.4,18.0,Normal
2024-02-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,50.8,21.0,Normal
2024-02-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.5,21.0,Normal
2024-02-14,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.5,19.0,Normal
2024-02-15,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,34.8,20.5,Normal
2024-02-16,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.2,20.4,Normal
2024-02-17,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.6,18.9,Normal
2024-02-18,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.8,17.9,Normal
2024-02-19,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.2,17.1,Normal
2024-02-20,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,35.3,18.3,Normal
2024-02-21,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.5,18.5,Normal
2024-02-22,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.3,17.1,Normal
2024-02-23,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.8,18.2,Normal
2024-02-24,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.2,19.9,Normal
2024-02-25,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.9,19.4,Normal
2024-02-26,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,55.2,20.7,Normal
2024-02-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.3,20.5,Normal
2024-02-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,50.5,22.5,Normal
2024-02-29,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.8,21.3,Normal
2024-03-01,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.8,18.3,Normal
2024-03-02,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,50.4,15.9,Normal
2024-03-03,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.7,16.6,Normal
2024-03-04,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.6,17.1,Normal
2024-03-05,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.0,18.9,Normal
2024-03-06,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.9,18.5,Normal
2024-03-07,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.7,19.0,Normal
2024-03-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.1,18.5,Normal
2024-03-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.0,18.7,Normal
2024-03-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.1,14.3,Normal
2024-03-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,54.2,18.5,Normal
2024-03-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.7,17.2,Normal
2024-03-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.0,21.0,Normal
2024-03-14,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,56.2,22.7,Normal
2024-03-15,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.9,21.1,Normal
2024-03-16,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.3,20.6,Normal
2024-03-17,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.7,22.8,Normal
2024-03-18,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,52.2,21.2,Normal
2024-03-19,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,53.7,22.0,Normal
2024-03-20,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.1,21.5,Normal
2024-03-21,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.3,20.7,Normal
2024-03-22,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.5,18.3,Normal
2024-03-23,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,36.3,18.3,Normal
2024-03-24,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,22.1,17.9,Normal
2024-03-25,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.9,15.9,Normal
2024-03-26,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,32.1,18.6,Normal
2024-03-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,25.9,18.2,Normal
2024-03-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,25.5,11.9,Normal
2024-03-29,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,32.1,11.8,Normal
2024-03-30,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.2,15.2,Normal
2024-03-31,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,49.3,17.3,Normal
2024-04-01,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.8,18.9,Normal
2024-04-02,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.7,20.8,Normal
2024-04-03,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,50.0,17.8,Normal
2024-04-04,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.5,20.4,Normal
2024-04-05,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,51.1,20.7,Normal
2024-04-06,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.8,18.6,Normal
2024-04-07,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.7,17.2,Normal
2024-04-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,37.1,20.1,Normal
2024-04-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.6,19.4,Normal
2024-04-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.6,18.0,Normal
2024-04-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.9,20.1,Normal
2024-04-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.8,19.3,Normal
2024-04-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.9,18.0,Normal
2024-04-14,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.8,21.3,Normal
2024-04-15,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.3,20.7,Normal
2024-04-16,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.8,19.7,Normal
2024-04-17,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.7,20.9,Normal
2024-04-18,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.0,16.7,Normal
2024-04-19,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.7,12.3,Normal
2024-04-20,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.3,14.5,Normal
2024-04-21,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,46.9,15.3,Normal
2024-04-22,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.7,15.8,Normal
2024-04-23,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.0,15.6,Normal
2024-04-24,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.9,16.6,Normal
2024-04-25,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.2,17.8,Normal
2024-04-26,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.7,17.9,Normal
2024-04-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.4,18.4,Normal
2024-04-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.7,18.7,Normal
2024-04-29,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.8,19.2,Normal
2024-04-30,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.3,17.8,Normal
2024-05-01,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.4,17.1,Normal
2024-05-02,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.9,16.7,Normal
2024-05-03,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.6,18.5,Normal
2024-05-04,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.3,18.5,Normal
2024-05-05,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.5,16.3,Normal
2024-05-06,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.5,15.3,Normal
2024-05-07,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,48.3,16.6,Normal
2024-05-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.3,19.2,Normal
2024-05-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,47.1,16.2,Normal
2024-05-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.5,16.9,Normal
2024-05-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.5,17.0,Normal
2024-05-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.7,15.9,Normal
2024-05-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,44.5,14.5,Normal
2024-05-14,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.1,16.1,Normal
2024-05-15,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.0,16.8,Normal
2024-05-16,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.8,16.3,Normal
2024-05-17,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,45.5,18.0,Normal
2024-05-18,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.5,15.9,Normal
2024-05-19,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.6,42.5,Normal
2024-05-20,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.3,21.5,Normal
2024-05-21,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.4,17.6,Normal
2024-05-22,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.4,15.5,Normal
2024-05-23,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.8,14.3,Normal
2024-05-24,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.9,14.2,Normal
2024-05-25,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,30.4,13.9,Normal
2024-05-26,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,24.4,14.9,Normal
2024-05-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,34.7,16.3,Normal
2024-05-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,21.3,12.6,Normal
2024-05-29,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,35.1,10.0,Normal
2024-05-30,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,36.3,7.0,Normal
2024-05-31,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,36.5,4.6,Normal
2024-06-01,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.3,9.1,Normal
2024-06-02,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.9,11.0,Normal
2024-06-03,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.1,15.4,Normal
2024-06-04,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.9,14.5,Normal
2024-06-05,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.3,12.2,Normal
2024-06-06,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.2,14.8,Normal
2024-06-07,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.3,14.0,Normal
2024-06-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.5,10.4,Normal
2024-06-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.9,13.3,Normal
2024-06-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.8,10.8,Normal
2024-06-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.2,10.0,Normal
2024-06-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.5,12.8,Normal
2024-06-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.1,11.0,Normal
2024-06-14,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.0,10.9,Normal
2024-06-15,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.3,14.1,Normal
2024-06-16,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.1,14.6,Normal
2024-06-17,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.0,13.0,Normal
2024-06-18,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.7,12.1,Normal
2024-06-19,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.4,11.0,Normal
2024-06-20,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.8,12.3,Normal
2024-06-21,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.7,11.4,Normal
2024-06-22,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.6,13.3,Normal
2024-06-23,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.3,15.4,Normal
2024-06-24,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.2,14.5,Normal
2024-06-25,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.8,14.4,Normal
2024-06-26,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.3,14.8,Normal
2024-06-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.0,15.7,Normal
2024-06-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.0,15.6,Normal
2024-06-29,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.7,15.5,Normal
2024-06-30,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.8,16.9,Normal
2024-07-01,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,16.9,9.1,Normal
2024-07-02,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.2,10.2,Normal
2024-07-03,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.4,12.6,Normal
2024-07-04,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,37.1,19.0,Normal
2024-07-05,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.9,14.6,Normal
2024-07-06,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.2,13.4,Normal
2024-07-07,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.0,13.4,Normal
2024-07-08,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.9,14.8,Normal
2024-07-09,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,24.9,15.6,Normal
2024-07-10,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,34.6,14.9,Normal
2024-07-11,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.6,14.7,Normal
2024-07-12,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.4,16.3,Normal
2024-07-13,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,38.0,14.8,Normal
2024-07-14,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.4,12.8,Normal
2024-07-15,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.5,10.7,Normal
2024-07-16,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,26.6,11.3,Normal
2024-07-17,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.7,10.2,Normal
2024-07-18,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.7,9.7,Normal
2024-07-19,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.3,9.3,Normal
2024-07-20,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.5,7.9,Normal
2024-07-21,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.2,7.4,Normal
2024-07-22,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.9,7.0,Normal
2024-07-23,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,39.7,7.6,Normal
2024-07-24,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,41.3,6.3,Normal
2024-07-25,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,40.0,9.0,Normal
2024-07-26,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.4,10.4,Normal
2024-07-27,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,42.8,14.2,Normal
2024-07-28,NORTE,ZSOZAR-ZARZOI3-244450,thermo_id_20001336,43.4,13.8,Normal
